,angle [deg],Aeff [cm2],u(Aeff) [cm2]
0,0.0,49.501762269262805,0.2910911651927745
1,1.0112359550561798,49.51790180340013,0.29124146786560134
2,2.0224719101123596,49.55747193092783,0.291413723011392
3,3.033707865168539,49.290446819646576,0.2905678384484961
4,4.044943820224719,49.17120065265414,0.2902079759029339
5,5.056179775280899,48.90622252737707,0.2893504759114033
6,6.067415730337078,49.30844817680275,0.2905427291826191
7,7.078651685393258,49.20696089122812,0.29027245704634486
8,8.089887640449438,48.64917074181855,0.28857304659007177
9,9.101123595505618,48.89757153359896,0.2894006129780126
10,10.112359550561798,48.68804259124164,0.2887782226289251
11,11.123595505617978,48.37736086832094,0.28771592888915676
12,12.134831460674157,48.01538012975843,0.2867420374510074
13,13.146067415730338,47.74874258849396,0.2858591215894171
14,14.157303370786517,47.62794696039591,0.2853764135491033
15,15.168539325842698,47.49236815263122,0.2850197710036256
16,16.179775280898877,46.66081414895753,0.2825075957925418
17,17.191011235955056,47.01001322124743,0.28359450639833456
18,18.202247191011235,46.2944336876895,0.2813484605428296
19,19.213483146067418,46.16287054527706,0.28093828352043393
20,20.224719101123597,45.69613005832268,0.27940995988939005
21,21.235955056179776,45.614248713251925,0.2791389871650023
22,22.247191011235955,44.91359310104415,0.2769069675000514
23,23.258426966292134,44.60292468545257,0.2759741710033592
24,24.269662921348313,44.96137655641772,0.2769595395478516
25,25.280898876404496,44.539408441496356,0.2756286614623885
26,26.292134831460675,43.437116416930614,0.2721205092074429
27,27.303370786516854,42.97848208498168,0.27070676378879965
28,28.314606741573034,42.420346093430545,0.26880103364958113
29,29.325842696629213,42.03735367289396,0.2676181649303648
30,30.337078651685395,41.54934926548906,0.2658454062295028
31,31.348314606741575,41.02196607829646,0.2641854283710548
32,32.359550561797754,40.69282983465506,0.26298356572823234
33,33.37078651685393,40.21900282455195,0.2614160027575436
34,34.38202247191011,40.03817875760686,0.26063186642549196
35,35.39325842696629,39.10365645640289,0.25750063293520314
36,36.40449438202247,38.33684777246373,0.25482693969101483
37,37.41573033707865,37.62258893421302,0.2523755825052455
38,38.426966292134836,37.42621674397073,0.2516023310411542
39,39.438202247191015,36.62445156198114,0.2487950150085802
40,40.449438202247194,36.48079895069026,0.24810555966440337
41,41.46067415730337,35.46550013742839,0.24445598309304933
42,42.47191011235955,34.839844457127704,0.24227658353100384
43,43.48314606741573,34.085312958144726,0.23923199773778026
44,44.49438202247191,33.59781370713201,0.23743000376307344
45,45.50561797752809,32.84809203905377,0.23456341671599862
46,46.51685393258427,32.00557349663291,0.23122734622820398
47,47.52808988764045,31.408849105641522,0.22883534254946805
48,48.53932584269663,30.633359291147393,0.22591194082391242
49,49.55056179775281,29.794443438767374,0.22225996347706253
50,50.56179775280899,28.97082184745508,0.2188300815301033
51,51.57303370786517,28.44540211318779,0.21652938637523744
52,52.58426966292135,27.38188068794945,0.2121479354222844
53,53.59550561797753,26.660871085580496,0.20887532287440974
54,54.60674157303371,26.243076623942237,0.2069144001388931
55,55.61797752808989,25.041296578397013,0.2015204389021944
56,56.62921348314607,24.131880429831014,0.1972003808032809
57,57.640449438202246,23.146401147778715,0.1924528099859168
58,58.651685393258425,22.38230120992271,0.1886201069284792
59,59.66292134831461,21.33477259646757,0.1835049827570822
60,60.67415730337079,20.74791193310944,0.18023953941697968
61,61.68539325842697,19.860606608335516,0.17553090732390633
62,62.69662921348315,18.973952819894947,0.17081178621808804
63,63.70786516853933,17.708331938010737,0.1637835946319214
64,64.71910112359551,16.80568993008117,0.15850193042543195
65,65.73033707865169,15.990549444625223,0.15338700646532197
66,66.74157303370787,15.042472701174217,0.1472348389898774
67,67.75280898876404,13.761327217659803,0.13941643407750115
68,68.76404494382022,12.884453194037073,0.13339773192833682
69,69.7752808988764,11.728761829680465,0.12549334997552233
70,70.78651685393258,10.947122894356294,0.11932931021204304
71,71.79775280898876,9.687848261788796,0.1100607636786547
72,72.80898876404494,8.52158899123016,0.10116828404361276
73,73.82022471910112,7.40915096043017,0.09157574132927682
74,74.8314606741573,6.3527934132165305,0.08231659320141554
75,75.84269662921349,5.402752478191038,0.07282422283188614
76,76.85393258426967,4.382889682263748,0.0625552873686493
77,77.86516853932585,3.3892518270261234,0.051824391764073184
78,78.87640449438203,2.5410752934691545,0.04160668527136718
79,79.88764044943821,1.6187365068961819,0.02996632722279452
80,80.89887640449439,0.8524901726133153,0.018598433020162317
81,81.91011235955057,0.3047158097911343,0.008507102380324757
82,82.92134831460675,0.0,
83,83.93258426966293,0.0,
84,84.9438202247191,0.0,
85,85.95505617977528,0.0,
86,86.96629213483146,0.0,
87,87.97752808988764,0.0,
88,88.98876404494382,0.0,
89,90.0,0.0,
