0.00000000 245
0.02607645 250
0.05703842 255
0.08894064 260
0.12250136 265
0.15633625 270
0.19039269 275
0.22482645 280
0.25948742 285
0.29411687 290
0.32884946 295
0.36370531 300
0.39863717 305
0.43351120 310
0.46828599 315
0.50312162 320
0.53795443 325
0.57273565 330
0.60754756 335
0.64237777 340
0.67721073 345
0.71200131 350
0.74665278 355
0.78111331 360
0.81530676 365
0.84904110 370
0.88188777 375
0.91298047 380
0.94061983 385
0.96257130 390
0.97878911 395
0.98966989 400
0.99554512 405
0.99816649 410
0.99935894 415
1.00000000 420
